Cell ID,,Timepoint, ,Position,  ,Displacement Vector,   ,Distance Traveled,    ,Volume,     ,Surface Area,      
,,17.0,,"(-122.8, 11.8, 60.6)",,"(-2.4, -5.7, 3.8)",,7.2,,154988.4,,18845.1,
,,18.0,,"(-118.7, 23.0, 60.6)",,"(4.2, 11.2, 0.0)",,11.9,,159945.8,,18701.9,
,,19.0,,"(-120.4, 18.5, 56.8)",,"(-1.7, -4.5, -3.8)",,6.2,,155833.1,,18334.2,
,,20.0,,"(-124.0, 19.9, 60.6)",,"(-3.6, 1.4, 3.8)",,5.5,,151862.4,,18741.3,
,,21.0,,"(-120.3, 21.0, 64.4)",,"(3.7, 1.1, 3.8)",,5.4,,153186.5,,19223.0,
,,22.0,,"(-122.3, 17.7, 64.4)",,"(-2.0, -3.3, 0.0)",,3.8,,155048.0,,19391.1,
,,23.0,,"(-121.2, 16.9, 60.6)",,"(1.1, -0.8, -3.8)",,4.0,,148385.5,,19064.2,
,,24.0,,"(-125.5, 18.7, 56.8)",,"(-4.2, 1.8, -3.8)",,6.0,,128866.6,,17249.9,
,,25.0,,"(-124.3, 20.3, 60.6)",,"(1.2, 1.6, 3.8)",,4.3,,141861.1,,17625.1,
,,26.0,,"(-127.9, 19.0, 53.0)",,"(-3.6, -1.3, -7.6)",,8.5,,146486.3,,18638.7,
,,27.0,,"(-122.8, 18.3, 60.6)",,"(5.1, -0.7, 7.6)",,9.1,,149983.5,,18582.4,
,,28.0,,"(-124.2, 14.8, 60.6)",,"(-1.4, -3.6, 0.0)",,3.8,,137073.6,,18154.3,
,,29.0,,"(-127.0, 18.2, 60.6)",,"(-2.8, 3.4, 0.0)",,4.4,,151365.8,,18889.3,
,,30.0,,"(-127.2, 13.7, 56.8)",,"(-0.2, -4.5, -3.8)",,5.9,,150079.4,,19520.9,
"9_(230, 180, 0)_Cell3D",,,,,,,,,,,,,
,,0.0,,"(-132.1, -62.1, 68.2)",,,,,,5832.5,,1773.6,
,,1.0,,"(-135.0, -65.1, 64.4)",,"(-2.9, -3.0, -3.8)",,5.6,,6634.4,,1935.5,
,,2.0,,"(-136.8, -67.0, 60.6)",,"(-1.8, -1.9, -3.8)",,4.6,,6380.2,,1861.6,
,,3.0,,"(-140.4, -69.3, 60.6)",,"(-3.5, -2.3, 0.0)",,4.2,,6091.5,,1770.4,
